company_id,company_name,ctry_code,worldrank,nace2,isic4,year,rd,ns,capex,op,emp,patCN,patEP,patJP,patKR,patUS,TMnEU,TMnUS
964,SONY,JP,39,2640,26,2016,3526.040586,59915.095568,2628.115937,2246.950986,128400,213,186,639,41,312,62,108
1097,DENSO,JP,38,2932,29-30,2017,3525.425680,40254.328400,2742.094919,3199.051833,168813,1702,179,1596,1495,2408,2,9
611,RENAULT,FR,45,2910,29-30,2018,3515.999997,57418.998331,2635.000041,2969.000023,183002,89,189,34,36,36,14,1
1290,ERICSSON,SE,46,2630,26,2018,3484.008601,20559.825003,387.621316,160.801894,95359,467,718,182,137,618,2,8
1649,ELI LILLY,US,51,2120,21,2015,3483.229782,17431.169748,931.178569,2471.963875,41275,,,,,,,
1534,CELGENE,US,37,2120,21,2017,3467.247123,11356.325820,243.667993,2884.714631,7467,47,71,65,34,69,3,24
1614,ABBVIE,US,30,2120,21,2015,3463.753732,19964.180887,464.628567,6743.228063,28000,,,,,,,
1985,AMGEN,US,50,2120,21,2015,3441.919573,18918.767571,518.777058,7519.647013,17900,,,,,,,
681,GLAXOSMITHKLINE,GB,34,2120,21,2015,3432.771191,26525.253430,1530.111185,695.202674,101192,,,,,,,
1290,ERICSSON,SE,46,2630,26,2015,3410.287434,24078.354239,813.078368,2111.097798,116281,,,,,,,
425,CONTINENTAL,DE,47,2211,22-23,2018,3367.000027,44404.398650,3124.399809,4023.199901,243226,481,456,102,149,372,71,57
478,SAP,DE,43,5829,58-60,2017,3331.999993,23460.999131,1275.000046,4877.999891,88543,988,993,42,45,809,13,44
1985,AMGEN,US,50,2120,21,2016,3326.635808,20079.465583,644.541113,8645.409718,19200,2,2,2,1,0,13,35
1242,AIRBUS,NL,48,3030,29-30,2018,3308.000043,63707.001507,2002.999885,4939.000122,133671,408,478,39,34,570,33,10
1652,BROADCOM,US,49,2611,26,2018,3290.828085,18207.851797,554.584898,4613.098223,15000,27,10,6,0,47,0,3
1242,AIRBUS,NL,48,3030,29-30,2016,3281.000070,66581.003368,,2237.000037,133782,12,196,1,0,9,18,9
1985,AMGEN,US,50,2120,21,2018,3263.753839,20739.726722,644.541113,8999.994956,21500,39,75,48,31,66,4,28
1534,CELGENE,US,37,2120,21,2015,3229.081398,8083.838969,250.043522,2187.946578,6971,,,,,,,
1097,DENSO,JP,38,2932,29-30,2016,3224.757034,35674.810410,2639.691811,2572.284779,154493,227,29,1321,804,361,8,23
1649,ELI LILLY,US,51,2120,21,2018,3214.146709,21446.015686,1057.291985,3374.234075,38680,57,66,53,26,65,81,166
425,CONTINENTAL,DE,47,2211,22-23,2017,3195.800120,44009.499252,2849.699929,4382.099956,235473,472,482,126,208,485,81,74
468,BOEHRINGER SOHN,DE,52,7010,69-71,2018,3164.000111,17497.999594,951.999973,3471.999895,50370,59,66,51,35,66,3,61
1097,DENSO,JP,38,2932,29-30,2015,3146.073315,35654.112697,2639.045706,2867.910080,151775,,,,,,,
1290,ERICSSON,SE,46,2630,26,2017,3130.029887,20027.393475,378.064840,-3029.492218,100735,722,1324,241,164,1178,1,0
468,BOEHRINGER SOHN,DE,52,7010,69-71,2016,3111.999948,15850.000083,645.000022,2871.999983,44971,0,4,2,0,2,5,111
1985,AMGEN,US,50,2120,21,2017,3110.915422,19955.448806,579.912332,8782.528341,20800,16,41,29,16,40,15,22
468,BOEHRINGER SOHN,DE,52,7010,69-71,2017,3077.999922,18055.999652,872.000004,3487.000009,49610,77,116,88,58,103,8,44
1290,ERICSSON,SE,46,2630,26,2016,3069.668310,21707.573906,597.668171,610.637653,111464,369,782,69,39,776,1,1
1953,GILEAD SCIENCES,US,41,2120,21,2017,3067.247337,22800.860927,515.283551,12571.172789,10000,32,67,33,22,72,41,47
1931,HP,US,125,2620,26,2015,3058.513626,44945.828617,3146.723378,3428.819124,287000,,,,,,,
478,SAP,DE,43,5829,58-60,2016,3037.000075,22061.999887,1001.000055,5133.999977,84183,67,52,1,1,872,18,20
1242,AIRBUS,NL,48,3030,29-30,2017,3025.999991,59021.998197,2339.000115,2583.000110,129442,293,412,55,50,571,12,12
468,BOEHRINGER SOHN,DE,52,7010,69-71,2015,3004.000057,14798.000455,591.000018,2269.000048,46679,,,,,,,
611,RENAULT,FR,45,2910,29-30,2017,2957.999939,58770.000935,2290.999983,3706.000047,181344,122,217,95,62,69,20,3
631,PEUGEOT (PSA),FR,42,2910,29-30,2017,2926.999936,62256.000936,2350.999974,3054.999979,172927,236,312,60,13,130,33,12
1167,TENCENT,CN,53,6209,62-63,2018,2923.016436,39850.436151,2516.092965,10546.231642,54309,319,130,77,79,317,63,24
425,CONTINENTAL,DE,47,2211,22-23,2016,2917.399863,40549.501777,2592.500066,4021.499772,220137,26,60,14,11,47,65,92
885,TAKEDA PHARMACEUTICAL,JP,54,2120,21,2018,2902.260050,16526.533291,612.109900,1168.357092,49578,217,338,191,135,334,25,25
1196,ALIBABA GROUP HOLDING,CN,28,4791,45-47,2017,2899.821848,31894.471496,3802.368185,8833.535016,66421,550,246,268,211,100,28,1
